200,18525
400,32000
800,58961
1600,112800
3200,220339
6400,424582
12800,837787
25600,1667591
51200,3335584
77464,5031753
204800,13157731
409600,25830876
819200,49437811
1638400,92197781
3276800,169714083
6553600,318649877
